Sex,TV,computer,Sleep,Seat,alcohol,Height,exercise,GPA,class,Weight
Female,14,21,6,Middle,0,60.8,1,3,LibArts,115.52
Female,5,5,8.5,Middle,10,68,0.5,2.87,NonLib,127.3
Female,5,15,6,Middle,0,63,0,2,NonLib,115.89999999999999
Female,5,5,7,Middle,0,65,2,3.91,NonLib,117.8
Female,0.5,3,4,Back,0,65,1.5,4,NonLib,120.64999999999999
Female,1,2,7,Middle,3,66,2.5,2.5,NonLib,127.3
Female,9,5,10,Back,0,62,3,NA,NonLib,119.69999999999999
Female,15,10,8,Middle,3,66,2,3.5,NonLib,123.5
Female,5,6,7,Middle,3,67,5,3.42,NonLib,121.6
Female,8,8,6,Middle,3,63,4,3.3,NonLib,115.89999999999999
Male,1,37,7,Middle,0,69,1,3.6,NonLib,156.20000000000002
Female,10,14,10,Middle,3,66,10,2.26,NonLib,114
Male,2,28,7,Middle,3,70,2,3.18,NonLib,171.60000000000002
Male,7,NA,7,Back,0,68,1,2,NonLib,145.20000000000002
Female,14,1,4.5,Front,NA,67,11,3,NonLib,117.8
Female,1,7,6,Middle,0,61,7,3.2,NonLib,119.69999999999999
Female,1,13.5,3,Middle,0,62,3,3.9,NonLib,114
Male,2,4,6,Front,0,65,11,2,NonLib,138.60000000000002
Female,1,6,5,Middle,0,63.5,3,2,NonLib,117.8
Female,4,10,4.5,Middle,0,61,0,2.66,NonLib,117.8
Female,3,20,7,Middle,5,64,2,3.88,NonLib,115.89999999999999
Male,8,35,8,Back,15,57,25,2.5,NonLib,145.20000000000002
Male,1,17.5,5,Middle,0,69,3,3.15,NonLib,158.4
Female,3,5,9,Middle,2,61,7,2.7,NonLib,123.5
Male,12,25,6,Back,0,76,1.5,3.17,NonLib,158.4
Male,30,15,6,Front,10,69,NA,2.47,NonLib,151.8
Male,15,20,7.5,Middle,12,72.5,4,NA,NonLib,158.4
Male,0.5,10,5.5,Front,0,69,6.5,3.3,NonLib,149.60000000000002
Male,9,2,7,Middle,20,77,15,2.34,NonLib,167.20000000000002
Male,25,25,9,Back,45,75,3,2.4,NonLib,169.4
Female,2,6,8,Front,0,61,1,3,NonLib,121.6
Female,3,35,8,Middle,0,63,0,2.81,NonLib,115.89999999999999
Female,1,35,8,Middle,4,62,2,2.82,NonLib,117.8
Female,3.5,9,6.5,Front,9,64,5.5,3.88,NonLib,121.6
Female,30,24,6,Front,0,64,2,2.19,NonLib,117.8
Male,20,7,7,Back,14,72,5,2.29,NonLib,160.60000000000002
Female,3,5,10,Middle,0,65,1,3.62,NonLib,125.39999999999999
Female,2,5,8,Middle,0,64,3,3.1,NonLib,115.89999999999999
Female,15,10,9,Middle,0,59,2,2.8,NonLib,114
Female,16,21,7,Front,1.5,65,2,2.74,NonLib,127.3
Female,5,10,8,Front,5,63,4.5,2.99,NonLib,123.5
Male,8,4,6,Middle,0,71,8,3,NonLib,154
Female,10,15,4.5,Middle,0,64.5,1,2.7,NonLib,117.8
Female,2,25,8,Front,2,64,2,3.1,NonLib,119.69999999999999
Male,8,1.5,6,Middle,5,72,10,3.4,NonLib,162.8
Male,10,2,5.5,Middle,20,68,8,2.4,NonLib,149.60000000000002
Male,10,25,7,Middle,0,69,2,2.76,NonLib,147.4
Female,6,12,9.5,Front,2,70,0,3,NonLib,117.8
Female,3.5,2,8,Front,0,60,2.5,3.86,NonLib,115.89999999999999
Female,8,12,8,Middle,NA,69,4,3,NonLib,129.2
Male,3,20,5.5,Back,3,66,2,2.1,NonLib,154
Female,1,12,8,Back,0,62,2,3.45,NonLib,119.69999999999999
Female,5,35,5,Back,4,65,5,2.18,NonLib,131.1
Male,8,32,6,Back,3,72,1.5,2.8,NonLib,156.20000000000002
Male,2,25,4,Front,0,71,1.5,NA,NonLib,NA
Male,9,7,7,Middle,10,75,7,3.5,NonLib,162.8
Male,1,10,5,Front,5,72,3,4,NonLib,162.8
Female,5,2,6,Middle,0,64,6,4,NonLib,117.8
Male,2,30,7,Front,3,70,4,3.4,LibArts,156.20000000000002
Female,1.5,20,8,Front,0,67,0,4,LibArts,117.8
Male,14,10,7,Middle,6,65,3,2.8,LibArts,143
Male,2,10,8,Middle,7,70,7,3.37,LibArts,162.8
Female,6,10,9,Front,0,61,2,3.4,LibArts,112.1
Male,20,0,8,Back,1,72,3,3.5,LibArts,154
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,149.60000000000002
Male,1,20,8,Middle,0,70,0,2.4,LibArts,167.20000000000002
Male,14,2,9,Middle,18,70,3,2,LibArts,154
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,129.2
Male,15,10,6,Middle,2,71,1,2.7,LibArts,145.20000000000002
Female,2,4,6.5,Middle,1,67,30,3,LibArts,115.89999999999999
Female,10,50,7,Middle,1,63,7,2.5,LibArts,117.8
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,121.6
Female,20,8,7,Front,0,60,0,3.1,LibArts,115.89999999999999
Male,20,30,6,Front,0,64,10,2.5,LibArts,136.4
Male,35,40,10,Back,5,63,2,3.43,LibArts,145.20000000000002
Male,15,15,6,Front,0,66,2,3.6,LibArts,160.60000000000002
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,165
Male,13.5,3,8,Back,0,70,7,NA,LibArts,NA
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,117.8
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,102.6
Female,4,9,7,Middle,2,66,6,3.8,LibArts,119.69999999999999
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,162.8
Female,14,21,6,Middle,0,60.8,1,3,LibArts,129.2
Male,2,30,7,Front,3,70,4,3.4,LibArts,132
Female,1.5,20,8,Front,0,67,0,4,LibArts,121.6
Male,14,10,7,Middle,6,65,3,2.8,LibArts,160.60000000000002
Male,2,10,8,Middle,7,70,7,3.37,LibArts,156.20000000000002
Female,6,10,9,Front,0,61,2,3.4,LibArts,125.39999999999999
Male,20,0,8,Back,1,72,3,3.5,LibArts,154
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,169.4
Male,1,20,8,Middle,0,70,0,2.4,LibArts,143
Male,14,2,9,Middle,18,70,3,2,LibArts,136.4
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,117.8
Male,15,10,6,Middle,2,71,1,2.7,LibArts,NA
Female,2,4,6.5,Middle,1,67,30,3,LibArts,114
Female,10,50,7,Middle,1,63,7,2.5,LibArts,121.6
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,121.6
Female,20,8,7,Front,0,60,0,3.1,LibArts,114
Male,20,30,6,Front,0,64,10,2.5,LibArts,143
Male,35,40,10,Back,5,63,2,3.43,LibArts,158.4
Male,15,15,6,Front,0,66,2,3.6,LibArts,162.8
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,154
Male,13.5,3,8,Back,0,70,7,NA,LibArts,154
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,114
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,123.5
Female,4,9,7,Middle,2,66,6,3.8,LibArts,127.3
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,143
Female,14,21,6,Middle,0,60.8,1,3,LibArts,114
Male,2,30,7,Front,3,70,4,3.4,LibArts,149.60000000000002
Female,1.5,20,8,Front,0,67,0,4,LibArts,119.69999999999999
Male,14,10,7,Middle,6,65,3,2.8,LibArts,158.4
Male,2,10,8,Middle,7,70,7,3.37,LibArts,145.20000000000002
Female,6,10,9,Front,0,61,2,3.4,LibArts,121.6
Male,20,0,8,Back,1,72,3,3.5,LibArts,149.60000000000002
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,160.60000000000002
Male,1,20,8,Middle,0,70,0,2.4,LibArts,147.4
Male,14,2,9,Middle,18,70,3,2,LibArts,147.4
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,121.6
Male,15,10,6,Middle,2,71,1,2.7,LibArts,165
Female,2,4,6.5,Middle,1,67,30,3,LibArts,121.6
Female,10,50,7,Middle,1,63,7,2.5,LibArts,121.6
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,114
Female,20,8,7,Front,0,60,0,3.1,LibArts,131.1
Male,20,30,6,Front,0,64,10,2.5,LibArts,132
Male,35,40,10,Back,5,63,2,3.43,LibArts,145.20000000000002
Male,15,15,6,Front,0,66,2,3.6,LibArts,162.8
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,149.60000000000002
Male,13.5,3,8,Back,0,70,7,NA,LibArts,151.8
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,110.19999999999999
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,123.5
Female,4,9,7,Middle,2,66,6,3.8,LibArts,127.3
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,143
Female,14,21,6,Middle,0,60.8,1,3,LibArts,123.5
Male,2,30,7,Front,3,70,4,3.4,LibArts,158.4
Female,1.5,20,8,Front,0,67,0,4,LibArts,119.69999999999999
Male,14,10,7,Middle,6,65,3,2.8,LibArts,147.4
Male,2,10,8,Middle,7,70,7,3.37,LibArts,143
Female,6,10,9,Front,0,61,2,3.4,LibArts,125.39999999999999
Male,20,0,8,Back,1,72,3,3.5,LibArts,158.4
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,147.4
Male,1,20,8,Middle,0,70,0,2.4,LibArts,151.8
Male,14,2,9,Middle,18,70,3,2,LibArts,149.60000000000002
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,121.6
Male,15,10,6,Middle,2,71,1,2.7,LibArts,164.45000000000002
Female,2,4,6.5,Middle,1,67,30,3,LibArts,119.69999999999999
Female,10,50,7,Middle,1,63,7,2.5,LibArts,121.6
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,125.39999999999999
Female,20,8,7,Front,0,60,0,3.1,LibArts,119.69999999999999
Male,20,30,6,Front,0,64,10,2.5,LibArts,154
Male,35,40,10,Back,5,63,2,3.43,LibArts,154
Male,15,15,6,Front,0,66,2,3.6,LibArts,145.20000000000002
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,143
Male,13.5,3,8,Back,0,70,7,NA,LibArts,156.20000000000002
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,115.89999999999999
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,125.39999999999999
Female,4,9,7,Middle,2,66,6,3.8,LibArts,121.6
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,149.60000000000002
Female,14,21,6,Middle,0,60.8,1,3,LibArts,131.575
Male,2,30,7,Front,3,70,4,3.4,LibArts,149.60000000000002
Female,1.5,20,8,Front,0,67,0,4,LibArts,125.39999999999999
Male,14,10,7,Middle,6,65,3,2.8,LibArts,156.20000000000002
Male,2,10,8,Middle,7,70,7,3.37,LibArts,151.8
Female,6,10,9,Front,0,61,2,3.4,LibArts,115.89999999999999
Male,20,0,8,Back,1,72,3,3.5,LibArts,145.20000000000002
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,143
Male,1,20,8,Middle,0,70,0,2.4,LibArts,140.8
Male,14,2,9,Middle,18,70,3,2,LibArts,134.20000000000002
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,119.69999999999999
Male,15,10,6,Middle,2,71,1,2.7,LibArts,151.8
Female,2,4,6.5,Middle,1,67,30,3,LibArts,129.2
Female,10,50,7,Middle,1,63,7,2.5,LibArts,117.8
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,119.69999999999999
Female,20,8,7,Front,0,60,0,3.1,LibArts,127.3
Male,20,30,6,Front,0,64,10,2.5,LibArts,NA
Male,35,40,10,Back,5,63,2,3.43,LibArts,154
Male,15,15,6,Front,0,66,2,3.6,LibArts,NA
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,147.4
Male,13.5,3,8,Back,0,70,7,NA,LibArts,151.8
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,127.3
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,119.69999999999999
Female,4,9,7,Middle,2,66,6,3.8,LibArts,123.5
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,156.20000000000002
Female,14,21,6,Middle,0,60.8,1,3,LibArts,115.89999999999999
Male,2,30,7,Front,3,70,4,3.4,LibArts,156.20000000000002
Female,1.5,20,8,Front,0,67,0,4,LibArts,114
Male,14,10,7,Middle,6,65,3,2.8,LibArts,171.60000000000002
Male,2,10,8,Middle,7,70,7,3.37,LibArts,145.20000000000002
Female,6,10,9,Front,0,61,2,3.4,LibArts,117.8
Male,20,0,8,Back,1,72,3,3.5,LibArts,151.8
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,149.60000000000002
Male,1,20,8,Middle,0,70,0,2.4,LibArts,138.60000000000002
Male,14,2,9,Middle,18,70,3,2,LibArts,138.60000000000002
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,117.8
Male,15,10,6,Middle,2,71,1,2.7,LibArts,138.60000000000002
Female,2,4,6.5,Middle,1,67,30,3,LibArts,115.89999999999999
Female,10,50,7,Middle,1,63,7,2.5,LibArts,117.8
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,123.5
Female,20,8,7,Front,0,60,0,3.1,LibArts,121.6
Male,20,30,6,Front,0,64,10,2.5,LibArts,151.8
Male,35,40,10,Back,5,63,2,3.43,LibArts,158.4
Male,15,15,6,Front,0,66,2,3.6,LibArts,149.60000000000002
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,167.20000000000002
Male,13.5,3,8,Back,0,70,7,NA,LibArts,169.4
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,121.6
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,115.89999999999999
Female,4,9,7,Middle,2,66,6,3.8,LibArts,117.8
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,162.8
Female,14,21,6,Middle,0,60.8,1,3,LibArts,117.8
